starttime,benchmarkID,format,dataset,triplestore,noclients,queryID,qps,succeeded,failed,totaltime,resultsize,penalizedtime
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,50,656.6045380875203,6482,0,9872,5,9872
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,40,409.8557692307692,6479,0,15808,59,15808
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,149,641.3301662707839,6480,0,10104,15,10104
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,124,612.7080181543116,6480,0,10576,14,10576
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,170,648.8434965455092,6480,0,9987,7,9987
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,37,619.9082042455536,6483,0,10458,17,10458
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,16,608.6956521739131,6482,0,10649,18,10649
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,122,326.5625,6479,0,19840,100,19840
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,10,669.8708010335916,6481,0,9675,7,9675
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,118,659.8431612180466,6479,0,9819,7,9819
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,69,178.54682721185904,6480,0,36293,337,36293
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,42,685.7535986452159,6479,0,9448,9,9448
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,167,682.9293993677555,6481,0,9490,7,9490
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,67,782.9869502174964,6480,0,8276,10,8276
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,48,666.4610322845979,6482,0,9726,5,9726
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,1,613.2298665657235,6480,0,10567,11,10567
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,84,612.2448979591837,6480,0,10584,16,10584
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,113,273.1641514206222,6480,0,23722,166,23722
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,41,727.4360125729681,6480,0,8908,1,8908
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,168,624.3014068221237,6479,0,10378,14,10378
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,72,493.5262757044935,6480,0,13130,38,13130
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,56,323.53381582231094,6482,0,20035,104,20035
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,121,510.03541912632824,6480,0,12705,35,12705
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,109,721.7333184805614,6479,0,8977,1,8977
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,124,614.2180094786729,6480,0,10550,14,10550
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,115,537.803967134202,6480,0,12049,27,12049
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,6,721.2950600801069,6483,0,8988,1,8988
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,139,735.8619123325007,6480,0,8806,1,8806
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,4,644.455494778717,6480,0,10055,8,10055
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,128,540.5270180120079,6482,0,11992,31,11992
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,4,647.0940683043739,6480,0,10014,8,10014
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,94,666.8038267667936,6482,0,9721,7,9721
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,4,648.6892135281169,6483,0,9994,8,9994
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,96,649.8846655300371,6480,0,9971,6,9971
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,21,627.0678146464159,6482,0,10337,21,10337
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,5,668.8345204913802,6479,0,9687,5,9687
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,45,670.9817729908865,6479,0,9656,5,9656
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,146,724.315259921744,6479,0,8945,2,8945
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,28,674.5759184098241,6482,0,9609,9,9609
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,166,706.2220769314591,6481,0,9177,2,9177
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,1,622.0729366602687,6482,0,10420,11,10420
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,73,558.6486253555115,6482,0,11603,20,11603
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,71,644.0071556350626,6480,0,10062,11,10062
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,164,221.48545647195542,6480,0,29257,248,29257
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,31,630.8051796319735,6479,0,10271,11,10271
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,141,657.6037333874405,6482,0,9857,6,9857
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,2,481.0004453020632,6481,0,13474,40,13474
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,120,638.3691156194603,6482,0,10154,10,10154
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,120,645.4826177906166,6480,0,10039,10,10039
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,134,648.3890334200521,6480,0,9994,10,9994
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,24,690.537084398977,6480,0,9384,5,9384
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,134,632.8384450087908,6479,0,10238,10,10238
2019-09-16 13:13:19.969000,4/1/2,HTTP,SWDF,Tentris,4,17,657.6997259161506,6479,0,9851,14,9851
